libraryPageTitle,sourceUrl,targetUrl,collectionPageTitle,section
Southern africa archives guide,wellcomelibrary.org/content/documents/southern-africa-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
West africa archives guide,wellcomelibrary.org/content/documents/west-africa-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
South amerca archives guide,wellcomelibrary.org/content/documents/south-america-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Caribbean archives guide,wellcomelibrary.org/content/documents/caribbean-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
"Exercise, fitness and sport archives guide",wellcomelibrary.org/content/documents/exercise-fitness-sport-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Far East archives guide,wellcomelibrary.org/content/documents/far-east-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Health tourism archives guide,wellcomelibrary.org/content/documents/health-tourism-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Medical charities archives guide,wellcomelibrary.org/content/documents/medical-charities-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Medial ethics and professional relations archives guide,wellcomelibrary.org/content/documents/medical-ethics-professional-relations-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Medical ehtics archives guide,wellcomelibrary.org/content/documents/medical-ethics-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Medical missionaries and societies archives guide,wellcomelibrary.org/content/documents/medical-missionaries-and-societies-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Near and middle eastern archives,wellcomelibrary.org/content/documents/near-and-middle-east-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
North america archives guide,wellcomelibrary.org/content/documents/north-america-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Occupational helath and medicine archives guide,wellcomelibrary.org/content/documents/occupational-health-medicine-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Polar regions archives guide,wellcomelibrary.org/content/documents/polar-regions-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Race and ethnic issues archives guide,wellcomelibrary.org/content/documents/race-and-ethnic-issues-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Religion archives guide,wellcomelibrary.org/content/documents/religion-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Social work archives guide,wellcomelibrary.org/content/documents/social-work-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
War psychology and psychiatry archives guide,wellcomelibrary.org/content/documents/war-psychology-and-psychiatry-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
East africa archives guide,wellcomelibrary.org/content/documents/africa-east-africa-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Alcohol and drugs archives guide,wellcomelibrary.org/content/documents/alcohol-and-drugs-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Alternative medicine archives guide,wellcomelibrary.org/content/documents/alternative-medicine-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Central america archives guide,wellcomelibrary.org/content/documents/central-america-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Animals medical and scientific use archives,wellcomelibrary.org/content/documents/animals-medical-scientific-use-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Animals archives guide,wellcomelibrary.org/content/documents/animals-miscellaneous-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Antibiotics archives guide,wellcomelibrary.org/content/documents/antibiotics-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Australasia archives guide,wellcomelibrary.org/content/documents/australasia-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Birth control archives guide,wellcomelibrary.org/content/documents/birth-control-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Blood archives guide,wellcomelibrary.org/content/documents/blood-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Cancer archives guide,wellcomelibrary.org/content/documents/cancer-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Children and adolescents archives guide,wellcomelibrary.org/content/documents/children-and-adolescents-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Clinical photographs archives guide,wellcomelibrary.org/content/documents/clinical-photographs.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Disabiliites archives guide,wellcomelibrary.org/content/documents/disabilities-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Domestic medicine 16th-17th century receipt books archives guide,wellcomelibrary.org/content/documents/domestic-medicine-receipt-book-16th-17th-century-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Domestic medicine 18th century receipt books archives guide,wellcomelibrary.org/content/documents/domestic-medicine-and-receipt-books-18-century-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Domestic medicine 19th century receipt books archives guide,wellcomelibrary.org/content/documents/domestic-medicine-and-receipt-books-19th-century-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Ears hearing and deafness archives guide,wellcomelibrary.org/content/documents/ears-hearing-deafness-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Eastern Europe archives guide,wellcomelibrary.org/content/documents/eastern-europe-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Eyes archives guide,wellcomelibrary.org/content/documents/eyes-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Health education promotion archives guide,wellcomelibrary.org/content/documents/health-education-promotion-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Heredity and genetics archives guide,wellcomelibrary.org/content/documents/heredity-and-genetics-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Individual hospitals UK and Ireland excluding London archives guide,wellcomelibrary.org/content/documents/individual-hospitals-in-uk-ireland-excluding-london-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Indivicual hospital London archives guide,wellcomelibrary.org/content/documents/individual-hospitals-uk-london-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Individual hospitals overseas archives guide,wellcomelibrary.org/content/documents/individual-hospitals-overseas-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Hospitals military and naval archives guide,wellcomelibrary.org/content/documents/hospitals-military-naval-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Hospital history nd policy archives guide,wellcomelibrary.org/content/documents/hospitals-history-policy-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Immunology and virology archives guide,wellcomelibrary.org/content/documents/immunology-and-virology-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
International organisations archives guide,wellcomelibrary.org/content/documents/international-organisation-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
